,,,,,,,,,,,,,,,
,         Contacts,,Instructions:,"Enter your Contacts in the table below. A Contact is anyone you are doing business with or anyone part of an Organization 
you are doing business with. The Contacts listed here can be referenced via dropdowns in the other input sheets.",,,,,,,,,,,x
,,,,,,,,,,,,,,,
,Priority,"Full Name (First, Last)",Type,Acct. Manager,Organization,Position,Email,Linkedin,Phone,Street Address,City,State,Zip,Notes,
,A,Jonathan Springs,Customer,Sandra Nichols,Astrodeo Pro Gaming Inc.,CEO,jonathan.springs@astrodeogaming.com,https://www.linkedin.com/in/jonathansprings,239-839-9495,"394 West Lantern Street
",Huntsville,AL,35803,,
,A,Cameron Ingram ,Prospect,Lisa Jones,AutomboParts Co.,VP of Sales,cameron.ingram.@automboparts.com,https://www.linkedin.com/in/cameroningram,617-440-1163,"34 Sherwood St.
",Mount Airy,MD,21771,,
,A+,Elena Marshall,Prospect,Sandra Nichols,Binte Ingredients Ltd.,COO,elena.marshall@bintefoods.com,https://www.linkedin.com/in/elenamarshall,308-235-7449,"494 E. Grant Drive
",Huntington Station,NY,11746,,
,A+,Luis Lawrence,Prospect,Isaac Gains,Cogitz Technologies Inc.,Director,luis.lawrence@cogitz.com,https://www.linkedin.com/in/luislawrence,201-248-9620,"8803 Highland Dr.
",West Orange,NJ,17052,,
,A+,Peter Beck,Prospect,Lisa Jones,Eadeo Audio LLC,Executive Director,peter.beck@eadeollc.com,https://www.linkedin.com/in/peterbeck,401-267-9785,"9810 E. Taylor Ave.
",Apopka,FL,32703,,
,A+,Nadine Welch,Prospect,Isaac Gains,Execuvee Placement Inc.,CEO,nadine.welch@execuveeplacement.net,https://www.linkedin.com/in/nadinewelch,754-888-6737,"742 Old York Court
",De Pere,WI,54115,,
,B,Dexter Pierce,Prospect,Isaac Gains,Finoid Financial LLC,Managing Director,dexter.pierce@finoidfinancial.com,https://www.linkedin.com/in/dexterpierce,410-377-9390,"311 Sheffield Drive
",Canfield,OH,44406,,
,B,Brooke Bradley,Prospect,Sandra Nichols,Frontescent Bank,CFO,brooke.bradley@frontescentbank.com,https://www.linkedin.com/in/brookebradley,315-204-7057,"8196 Border Ave.
",Bridgeport,CT,16606,,
,A,Fredrick Cobb,Prospect,Henry Kramer,Genous Genetics LLC,Lab Director,fredrick.cobb@genousgen.com,https://www.linkedin.com/in/fredrickcobb,571-488-4238,8656 Military St.,Urbandale,IA,50322,,
,B,Monica Clarke,Prospect,Isaac Gains,HomovaHomes LLC,Founder,monica.clarke@homovahomes.com,https://www.linkedin.com/in/monicaclarke,269-623-5487,"401 North Cedarwood Drive
",Aberdeen,SD,57401,,
,B,Lydia Burton,Prospect,Lisa Jones,MultinduTV Inc.,Executive Producer,lydia.burton@multindutv.com,https://www.linkedin.com/in/lydiaburton,816-835-1901,"9495 Cross Lane
",Akron,OH,44312,,
,B,Juan Poole,Prospect,Isaac Gains,Omnifix Inc.,CTO,juan.poole@omnifixco.net,https://www.linkedin.com/in/juanpoole,530-823-5402,599 Cleveland Ave.,Dracut,MA,11826,,
,C,Carolyn Garcia,Prospect,Sandra Nichols,Outescent Co.,CEO,carolyn.garcia@outescentco.com,https://www.linkedin.com/in/carolyngarcia,219-712-9604,"96 West Drive
",Grand Island,NE,68801,,
,A+,Saul Reid,Customer,Henry Kramer,Peritri Laboratories,CEO,saul.reid@peritrilabscorp.com,https://www.linkedin.com/in/saulreid,240-237-1167,"895 N. Arlington Street
",Park Ridge,IL,60068,,
,A,Doug Gibson,Prospect,Sandra Nichols,Roocero Farm Equipment Co.,COO,doug.gibson@rooceroco.com,https://www.linkedin.com/in/douggibson,414-575-9481,"7765 Brookside Lane
",Chelmsford,MA,11824,,
,B,Jake Hopkins,Prospect,Henry Kramer,Tare Weights Co.,Vice President,jake.hopkins@tareweightsco.com,https://www.linkedin.com/in/jakehopkins,727-232-6660,"71 Sutor Street
",Bakersfield,CA,93306,,
,A,Henry Palmer,Customer,Evan Yates,The Megadoo Institute,Vice President,henry.palmer@megadooinstitute.org,https://www.linkedin.com/in/henrypalmer,580-837-3489,"479 Vale Drive
",Kernersville,NC,27284,,
,A+,Malcolm Lopez,Customer,Henry Kramer,Voocy Garages LLC,Director,malcolm.lopez@voocygaragesllc.com,https://www.linkedin.com/in/malcolmlopez,440-432-2132,"7215 Purple Finch Drive
",Burke,VA,22015,,
,C,Jeannette Chandler,Prospect,Evan Yates,VRIC Corporation,CEO,jeannette.chandler@vriccorporation.com,https://www.linkedin.com/in/jeannettechandler,470-839-5241,"68 Eagle St.
",Elizabethton,TN,37643,,
